,Unnamed: 0,section,subsection,question,section#,section_short,Question_ID2,colour,model,answer_given,cos_similarity,answer_ability,answer_freq_delta
50,13,2. General information,2.5 Name and acronym of the test depositor,Include affiliation.,2.0,General information,14,blue,gpt-4o-mini,0.875,0.3961686457793071,high,0.0625
51,13,2. General information,2.5 Name and acronym of the test depositor,Include affiliation.,2.0,General information,14,blue,gpt-5-mini,0.875,0.39252488340298075,high,0.0625
52,13,2. General information,2.5 Name and acronym of the test depositor,Include affiliation.,2.0,General information,14,blue,o3-mini,1.0,0.4201388125952712,high,0.1875
53,14,2. General information,2.6 Name and email of contact person,Provide the details of the principal contact person.,2.0,General information,15,blue,gpt-4.1-nano,1.0,0.5726998193565016,high,0.0
54,14,2. General information,2.6 Name and email of contact person,Provide the details of the principal contact person.,2.0,General information,15,blue,gpt-4o-mini,1.0,0.5648379800510419,high,0.0
55,14,2. General information,2.6 Name and email of contact person,Provide the details of the principal contact person.,2.0,General information,15,blue,gpt-5-mini,1.0,0.4287123222782405,high,0.0
56,14,2. General information,2.6 Name and email of contact person,Provide the details of the principal contact person.,2.0,General information,15,blue,o3-mini,1.0,0.6801560420474334,high,0.0
57,15,2. General information,2.7 Name of further persons involved,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",2.0,General information,16,blue,gpt-4.1-nano,0.0,0.08382285660119172,low,-0.71875
58,15,2. General information,2.7 Name of further persons involved,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",2.0,General information,16,blue,gpt-4o-mini,1.0,0.5323603340757175,high,0.28125
59,15,2. General information,2.7 Name of further persons involved,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",2.0,General information,16,blue,gpt-5-mini,0.875,0.45660730083343515,high,0.15625
60,15,2. General information,2.7 Name of further persons involved,"For example, the principal investigator (PI) of the lab, the person who conducted the experiments, etc.",2.0,General information,16,blue,o3-mini,1.0,0.5254777623582336,high,0.28125
61,16,2. General information,2.8 Reference to additional files of relevance,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",2.0,General information,17,blue,gpt-4.1-nano,0.6666666666666666,0.47820425340409517,medium,-0.16666666666666663
62,16,2. General information,2.8 Reference to additional files of relevance,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",2.0,General information,17,blue,gpt-4o-mini,1.0,0.6194674746193845,high,0.16666666666666674
63,16,2. General information,2.8 Reference to additional files of relevance,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",2.0,General information,17,blue,gpt-5-mini,0.6666666666666666,0.5302558947113581,medium,-0.16666666666666663
64,16,2. General information,2.8 Reference to additional files of relevance,"Supply number of supporting files. Describe supporting files (e.g. metadata files, instrument settings, calculation template, raw data file, etc.).",2.0,General information,17,blue,o3-mini,1.0,0.6162174286188858,high,0.16666666666666674
65,17,3. Description of general features of the test system source,3.1 Supply of source cells,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",3.0,Test system source,18,green,gpt-4.1-nano,1.0,0.7096618923402932,high,0.0
66,17,3. Description of general features of the test system source,3.1 Supply of source cells,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",3.0,Test system source,18,green,gpt-4o-mini,1.0,0.7322301409361659,high,0.0
67,17,3. Description of general features of the test system source,3.1 Supply of source cells,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",3.0,Test system source,18,green,gpt-5-mini,1.0,0.6487228093404519,high,0.0
68,17,3. Description of general features of the test system source,3.1 Supply of source cells,"Describe briefly whether the cells are from a commercial supplier, continuously generated by cell culture, or obtained by isolation from human/animal tissue (or other).",3.0,Test system source,18,green,o3-mini,1.0,0.7307104296622061,high,0.0
69,18,3. Description of general features of the test system source,3.2 Overview of cell source component(s),"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",3.0,Test system source,19,green,gpt-4.1-nano,1.0,0.8271485791824794,high,0.0
70,18,3. Description of general features of the test system source,3.2 Overview of cell source component(s),"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",3.0,Test system source,19,green,gpt-4o-mini,1.0,0.8210122580334555,high,0.0
71,18,3. Description of general features of the test system source,3.2 Overview of cell source component(s),"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",3.0,Test system source,19,green,gpt-5-mini,1.0,0.6593315862697671,high,0.0
72,18,3. Description of general features of the test system source,3.2 Overview of cell source component(s),"Give a brief overview of your biological source system, i.e. the source or starting cells that you use. Which cell type(s) are used or obtained (e.g. monoculture/co-culture, differentiation state, 2D/3D, etc.)? If relevant, give human donor specifications (e.g. sex, age, pool of 10 donors, from healthy tissue, etc.).",3.0,Test system source,19,green,o3-mini,1.0,0.7897743446830205,high,0.0
73,19,3. Description of general features of the test system source,3.3 Characterization and definition of source cells,"List quantitative and semi-quantitative features that define your cell source/starting cell population. For test methods that are based on differentiation, describe your initial cells, e.g. iPSC, proliferating SH-SY5Y; the differentiated cells are described in section 4. Define cell identity, e.g. by STR signature (where available), karyotype information, sex (where available and relevant), ATCC number, passage number, source (supplier), sub-line (where relevant), source of primary material, purity of the cells, etc. Describe defining biological features you have measured or that are FIRMLY established (use simple listing, limit to max. 0.5 pages), e.g. the cells express specific marker genes, have specific surface antigens, lack certain markers, have or lack a relevant metabolic or transporting capacity, have a doubling time of x hours, etc. Transgenic cell lines have particular requirements concerning the characterization of the genetic manipulation (type of transgene, type of vector, integration/deletion site(s), stability, etc.). Organoids and microphysiological systems (MPS) may need some special/additional considerations as detailed in Pamies et al. (2018) and Marx et al. (2016), e.g. ratio of cell types used, percent of normal cells in tumor spheroids created from resected tissue; derivation of cells for re-aggregating brain cultures.",3.0,Test system source,20,green,gpt-4.1-nano,0.875,0.7096519759978727,high,-0.03125
74,19,3. Description of general features of the test system source,3.3 Characterization and definition of source cells,"List quantitative and semi-quantitative features that define your cell source/starting cell population. For test methods that are based on differentiation, describe your initial cells, e.g. iPSC, proliferating SH-SY5Y; the differentiated cells are described in section 4. Define cell identity, e.g. by STR signature (where available), karyotype information, sex (where available and relevant), ATCC number, passage number, source (supplier), sub-line (where relevant), source of primary material, purity of the cells, etc. Describe defining biological features you have measured or that are FIRMLY established (use simple listing, limit to max. 0.5 pages), e.g. the cells express specific marker genes, have specific surface antigens, lack certain markers, have or lack a relevant metabolic or transporting capacity, have a doubling time of x hours, etc. Transgenic cell lines have particular requirements concerning the characterization of the genetic manipulation (type of transgene, type of vector, integration/deletion site(s), stability, etc.). Organoids and microphysiological systems (MPS) may need some special/additional considerations as detailed in Pamies et al. (2018) and Marx et al. (2016), e.g. ratio of cell types used, percent of normal cells in tumor spheroids created from resected tissue; derivation of cells for re-aggregating brain cultures.",3.0,Test system source,20,green,gpt-4o-mini,1.0,0.7740478570642421,high,0.09375
75,19,3. Description of general features of the test system source,3.3 Characterization and definition of source cells,"List quantitative and semi-quantitative features that define your cell source/starting cell population. For test methods that are based on differentiation, describe your initial cells, e.g. iPSC, proliferating SH-SY5Y; the differentiated cells are described in section 4. Define cell identity, e.g. by STR signature (where available), karyotype information, sex (where available and relevant), ATCC number, passage number, source (supplier), sub-line (where relevant), source of primary material, purity of the cells, etc. Describe defining biological features you have measured or that are FIRMLY established (use simple listing, limit to max. 0.5 pages), e.g. the cells express specific marker genes, have specific surface antigens, lack certain markers, have or lack a relevant metabolic or transporting capacity, have a doubling time of x hours, etc. Transgenic cell lines have particular requirements concerning the characterization of the genetic manipulation (type of transgene, type of vector, integration/deletion site(s), stability, etc.). Organoids and microphysiological systems (MPS) may need some special/additional considerations as detailed in Pamies et al. (2018) and Marx et al. (2016), e.g. ratio of cell types used, percent of normal cells in tumor spheroids created from resected tissue; derivation of cells for re-aggregating brain cultures.",3.0,Test system source,20,green,gpt-5-mini,0.75,0.745157853823834,high,-0.15625
76,19,3. Description of general features of the test system source,3.3 Characterization and definition of source cells,"List quantitative and semi-quantitative features that define your cell source/starting cell population. For test methods that are based on differentiation, describe your initial cells, e.g. iPSC, proliferating SH-SY5Y; the differentiated cells are described in section 4. Define cell identity, e.g. by STR signature (where available), karyotype information, sex (where available and relevant), ATCC number, passage number, source (supplier), sub-line (where relevant), source of primary material, purity of the cells, etc. Describe defining biological features you have measured or that are FIRMLY established (use simple listing, limit to max. 0.5 pages), e.g. the cells express specific marker genes, have specific surface antigens, lack certain markers, have or lack a relevant metabolic or transporting capacity, have a doubling time of x hours, etc. Transgenic cell lines have particular requirements concerning the characterization of the genetic manipulation (type of transgene, type of vector, integration/deletion site(s), stability, etc.). Organoids and microphysiological systems (MPS) may need some special/additional considerations as detailed in Pamies et al. (2018) and Marx et al. (2016), e.g. ratio of cell types used, percent of normal cells in tumor spheroids created from resected tissue; derivation of cells for re-aggregating brain cultures.",3.0,Test system source,20,green,o3-mini,1.0,0.8313863107793283,high,0.09375
77,20,3. Description of general features of the test system source,3.4 Acceptance criteria for source cell population,"Describe the acceptance criteria (AC) for your initial cells (i.e. the quality criteria for your proliferating cell line, tissue for isolation, organism, etc.). Which specifications do you consider to describe the material, which quality control criteria have to be fulfilled (e.g. pathogen-free)? Which functional parameters (e.g. certain biological responses to reference substances) are important? For iPSC maintenance: How do you control pluripotency? How stable are your cells over several passages? Which passage(s) are valid? For primary cells: Show stability and identity of supply; demonstrate stability of function (e.g. xenobiotic metabolism). Quantitative definitions for AC should be given based on this defining information. Exclusion criteria (features to be absent) are also important. As in 3.3., special/additional requirements apply to genetically-modified cells and microphysiological systems.",3.0,Test system source,21,yellow,gpt-4.1-nano,0.0,0.11419168332903182,low,-0.59375
78,20,3. Description of general features of the test system source,3.4 Acceptance criteria for source cell population,"Describe the acceptance criteria (AC) for your initial cells (i.e. the quality criteria for your proliferating cell line, tissue for isolation, organism, etc.). Which specifications do you consider to describe the material, which quality control criteria have to be fulfilled (e.g. pathogen-free)? Which functional parameters (e.g. certain biological responses to reference substances) are important? For iPSC maintenance: How do you control pluripotency? How stable are your cells over several passages? Which passage(s) are valid? For primary cells: Show stability and identity of supply; demonstrate stability of function (e.g. xenobiotic metabolism). Quantitative definitions for AC should be given based on this defining information. Exclusion criteria (features to be absent) are also important. As in 3.3., special/additional requirements apply to genetically-modified cells and microphysiological systems.",3.0,Test system source,21,yellow,gpt-4o-mini,1.0,0.6851843643137334,high,0.40625
79,20,3. Description of general features of the test system source,3.4 Acceptance criteria for source cell population,"Describe the acceptance criteria (AC) for your initial cells (i.e. the quality criteria for your proliferating cell line, tissue for isolation, organism, etc.). Which specifications do you consider to describe the material, which quality control criteria have to be fulfilled (e.g. pathogen-free)? Which functional parameters (e.g. certain biological responses to reference substances) are important? For iPSC maintenance: How do you control pluripotency? How stable are your cells over several passages? Which passage(s) are valid? For primary cells: Show stability and identity of supply; demonstrate stability of function (e.g. xenobiotic metabolism). Quantitative definitions for AC should be given based on this defining information. Exclusion criteria (features to be absent) are also important. As in 3.3., special/additional requirements apply to genetically-modified cells and microphysiological systems.",3.0,Test system source,21,yellow,gpt-5-mini,0.375,0.5933592503912056,low,-0.21875
80,20,3. Description of general features of the test system source,3.4 Acceptance criteria for source cell population,"Describe the acceptance criteria (AC) for your initial cells (i.e. the quality criteria for your proliferating cell line, tissue for isolation, organism, etc.). Which specifications do you consider to describe the material, which quality control criteria have to be fulfilled (e.g. pathogen-free)? Which functional parameters (e.g. certain biological responses to reference substances) are important? For iPSC maintenance: How do you control pluripotency? How stable are your cells over several passages? Which passage(s) are valid? For primary cells: Show stability and identity of supply; demonstrate stability of function (e.g. xenobiotic metabolism). Quantitative definitions for AC should be given based on this defining information. Exclusion criteria (features to be absent) are also important. As in 3.3., special/additional requirements apply to genetically-modified cells and microphysiological systems.",3.0,Test system source,21,yellow,o3-mini,1.0,0.7262712666046135,high,0.40625
81,21,3. Description of general features of the test system source,3.5 Variability and troubleshooting of source cells,"Name known causes of variability of the initial cells/source cells. Indicate critical consumables or batch effects (e.g. relevance of the plate format and supplier, batch effects of fetal calf serum (FCS) or serum replacement, critical additives like type of trypsin, apo-transferrin vs. holo-transferrin, etc.). Indicate critical handling steps and influencing factors (e.g. special care needed in pipetting, steps that need to be performed quickly, cell density, washing procedures, etc.). As in 3.3., special/additional requirements apply to genetically-modified cells and microphysiological systems, e.g. dependence on matrix chemistry and geometry, dependence on microfluidics system, consideration of surface cells vs core cells, etc. Give recommendations to increase/ensure reproducibility and performance.",3.0,Test system source,22,yellow,gpt-4.1-nano,0.0,0.11411471348669353,low,-0.375
82,21,3. Description of general features of the test system source,3.5 Variability and troubleshooting of source cells,"Name known causes of variability of the initial cells/source cells. Indicate critical consumables or batch effects (e.g. relevance of the plate format and supplier, batch effects of fetal calf serum (FCS) or serum replacement, critical additives like type of trypsin, apo-transferrin vs. holo-transferrin, etc.). Indicate critical handling steps and influencing factors (e.g. special care needed in pipetting, steps that need to be performed quickly, cell density, washing procedures, etc.). As in 3.3., special/additional requirements apply to genetically-modified cells and microphysiological systems, e.g. dependence on matrix chemistry and geometry, dependence on microfluidics system, consideration of surface cells vs core cells, etc. Give recommendations to increase/ensure reproducibility and performance.",3.0,Test system source,22,yellow,gpt-4o-mini,0.375,0.3152172469331102,low,0.0
83,21,3. Description of general features of the test system source,3.5 Variability and troubleshooting of source cells,"Name known causes of variability of the initial cells/source cells. Indicate critical consumables or batch effects (e.g. relevance of the plate format and supplier, batch effects of fetal calf serum (FCS) or serum replacement, critical additives like type of trypsin, apo-transferrin vs. holo-transferrin, etc.). Indicate critical handling steps and influencing factors (e.g. special care needed in pipetting, steps that need to be performed quickly, cell density, washing procedures, etc.). As in 3.3., special/additional requirements apply to genetically-modified cells and microphysiological systems, e.g. dependence on matrix chemistry and geometry, dependence on microfluidics system, consideration of surface cells vs core cells, etc. Give recommendations to increase/ensure reproducibility and performance.",3.0,Test system source,22,yellow,gpt-5-mini,0.125,0.6226651862473982,low,-0.25
84,21,3. Description of general features of the test system source,3.5 Variability and troubleshooting of source cells,"Name known causes of variability of the initial cells/source cells. Indicate critical consumables or batch effects (e.g. relevance of the plate format and supplier, batch effects of fetal calf serum (FCS) or serum replacement, critical additives like type of trypsin, apo-transferrin vs. holo-transferrin, etc.). Indicate critical handling steps and influencing factors (e.g. special care needed in pipetting, steps that need to be performed quickly, cell density, washing procedures, etc.). As in 3.3., special/additional requirements apply to genetically-modified cells and microphysiological systems, e.g. dependence on matrix chemistry and geometry, dependence on microfluidics system, consideration of surface cells vs core cells, etc. Give recommendations to increase/ensure reproducibility and performance.",3.0,Test system source,22,yellow,o3-mini,1.0,0.7390857536032988,high,0.625
85,22,3. Description of general features of the test system source,3.6 Differentiation towards the final test system,"Describe the principles of the selected differentiation protocol, including a scheme and graphical overview, indicating all phases, media, substrates, manipulation steps (medium change/re-plating, medium additives, etc.). Special/additional requirements apply to microphysiological systems and organoids: e.g. cell printing, self-aggregation/self-organisation process, interaction with the matrix, geometrical characterization (size/shape), etc.",3.0,Test system source,23,yellow,gpt-4.1-nano,0.5714285714285714,0.5316534509279288,medium,0.1071428571428571
86,22,3. Description of general features of the test system source,3.6 Differentiation towards the final test system,"Describe the principles of the selected differentiation protocol, including a scheme and graphical overview, indicating all phases, media, substrates, manipulation steps (medium change/re-plating, medium additives, etc.). Special/additional requirements apply to microphysiological systems and organoids: e.g. cell printing, self-aggregation/self-organisation process, interaction with the matrix, geometrical characterization (size/shape), etc.",3.0,Test system source,23,yellow,gpt-4o-mini,0.0,0.14834994831908052,low,-0.4642857142857143
87,22,3. Description of general features of the test system source,3.6 Differentiation towards the final test system,"Describe the principles of the selected differentiation protocol, including a scheme and graphical overview, indicating all phases, media, substrates, manipulation steps (medium change/re-plating, medium additives, etc.). Special/additional requirements apply to microphysiological systems and organoids: e.g. cell printing, self-aggregation/self-organisation process, interaction with the matrix, geometrical characterization (size/shape), etc.",3.0,Test system source,23,yellow,gpt-5-mini,0.2857142857142857,0.7539527174859543,low,-0.1785714285714286
88,22,3. Description of general features of the test system source,3.6 Differentiation towards the final test system,"Describe the principles of the selected differentiation protocol, including a scheme and graphical overview, indicating all phases, media, substrates, manipulation steps (medium change/re-plating, medium additives, etc.). Special/additional requirements apply to microphysiological systems and organoids: e.g. cell printing, self-aggregation/self-organisation process, interaction with the matrix, geometrical characterization (size/shape), etc.",3.0,Test system source,23,yellow,o3-mini,1.0,0.8210383397938263,high,0.5357142857142857
89,23,3. Description of general features of the test system source,3.7 Reference/link to maintenance culture protocol,"Provide the SOP of the general maintenance procedure as a database link. This should also include the following information: How are the cells maintained outside the experiment (basic cell propagation)? How pure is the cell population (average, e.g. 95% of iPSC cells Oct4-positive)? What are the quality control measures and acceptance criteria for each cell batch? Which number(s) passage(s) can be used in the test? Is Good Cell Culture Practice (GCCP) and/or Good In Vitro Method Practice (GIVIMP) followed? How long can same cell batches be used? How are frozen stocks and cell banks prepared? For primary cells: how are they obtained in general and what are they characterized for (and what are inclusion and exclusion criteria).",3.0,Test system source,24,orange,gpt-4.1-nano,0.0,0.17598721633493078,low,-0.3125
90,23,3. Description of general features of the test system source,3.7 Reference/link to maintenance culture protocol,"Provide the SOP of the general maintenance procedure as a database link. This should also include the following information: How are the cells maintained outside the experiment (basic cell propagation)? How pure is the cell population (average, e.g. 95% of iPSC cells Oct4-positive)? What are the quality control measures and acceptance criteria for each cell batch? Which number(s) passage(s) can be used in the test? Is Good Cell Culture Practice (GCCP) and/or Good In Vitro Method Practice (GIVIMP) followed? How long can same cell batches be used? How are frozen stocks and cell banks prepared? For primary cells: how are they obtained in general and what are they characterized for (and what are inclusion and exclusion criteria).",3.0,Test system source,24,orange,gpt-4o-mini,0.25,0.2665153230083856,low,-0.0625
