,section,section_short,subsection,qID,question,assay,colour,answer_given
35,1. Overview,1. Overview,1.2 Abstract,4,Which test system and readout(s) are used? (4.1; 5.2),th_uptake,green,0.6444444444444445
36,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",ablue_shsy5y,green,0.4444444444444444
37,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",cell_painting_plus,green,0.64
38,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",dcfda_hepg2,green,0.8
39,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",e_morph_screening,green,0.6
40,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",hntp,green,0.8048780487804879
41,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",ldh_shsy5y,green,0.56
42,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",msldt,green,0.8
43,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",rhe,green,0.7
44,1. Overview,1. Overview,1.2 Abstract,5,"Which biological process(es) (e.g. neurite outgrowth, differentiation) and/or toxicological events (e.g. oxidative stress, cell death) are modelled/reflected by your test method? (8.1)",th_uptake,green,0.3333333333333333
45,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),ablue_shsy5y,green,0.3333333333333333
46,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),cell_painting_plus,green,0.56
47,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),dcfda_hepg2,green,0.26666666666666666
48,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),e_morph_screening,green,0.4
49,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),hntp,green,0.5609756097560976
50,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),ldh_shsy5y,green,0.44
51,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),msldt,green,0.5
52,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),rhe,green,0.8
53,1. Overview,1. Overview,1.2 Abstract,6,To which (human) adverse outcome(s) is your test method related or could be related? (8.1; 9.2; 9.3),th_uptake,green,0.26666666666666666
54,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),ablue_shsy5y,green,0.34444444444444444
55,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),cell_painting_plus,green,0.6
56,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),dcfda_hepg2,green,0.3333333333333333
57,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),e_morph_screening,green,0.52
58,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),hntp,green,0.5609756097560976
59,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),ldh_shsy5y,green,0.4266666666666667
60,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),msldt,green,0.7
61,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),rhe,green,0.9
62,1. Overview,1. Overview,1.2 Abstract,7,Which hazard(s) do(es) your test method (potentially) predict? (8.1; 8.6),th_uptake,green,0.28888888888888886
63,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),ablue_shsy5y,green,0.17777777777777778
64,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),cell_painting_plus,green,0.48
65,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),dcfda_hepg2,green,0.2
66,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),e_morph_screening,green,0.34
67,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),hntp,green,0.4146341463414634
68,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),ldh_shsy5y,green,0.22666666666666666
69,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),msldt,green,0.2
70,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),rhe,green,0.8
71,1. Overview,1. Overview,1.2 Abstract,8,Does the test method capture an endpoint of current regulatory studies? (9.5),th_uptake,green,0.2
72,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",ablue_shsy5y,green,0.07777777777777778
73,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",cell_painting_plus,green,0.52
74,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",dcfda_hepg2,green,0.0
75,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",e_morph_screening,green,0.24
76,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",hntp,green,0.21951219512195122
77,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",ldh_shsy5y,green,0.09333333333333334
78,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",msldt,green,0.2
79,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",rhe,green,0.8
80,1. Overview,1. Overview,1.2 Abstract,9,"If the method has undergone some form of validation/evaluation, give its status. (9.4)",th_uptake,green,0.08888888888888889
81,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,ablue_shsy5y,red,0.011111111111111112
82,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,cell_painting_plus,red,0.04
83,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,dcfda_hepg2,red,0.0
84,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,e_morph_screening,red,0.04
85,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,hntp,red,0.0
86,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,ldh_shsy5y,red,0.0
87,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,msldt,red,0.4
88,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,rhe,red,0.4
89,10. Test method transferability,10. Transferability,10.1 Operator training,72,What experience is required? How are new operators trained in your laboratory? How much training/experience is required for smooth assay performance?,th_uptake,red,0.022222222222222223
90,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,ablue_shsy5y,red,0.011111111111111112
91,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,cell_painting_plus,red,0.28
92,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,dcfda_hepg2,red,0.0
93,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,e_morph_screening,red,0.06
94,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,hntp,red,0.07317073170731707
95,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,ldh_shsy5y,red,0.013333333333333334
96,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,msldt,red,0.0
97,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,rhe,red,0.4
98,10. Test method transferability,10. Transferability,10.2 Transfer,73,Has the test system been transferred to other labs? Has the test method been used by various operators (over a long time period)? Has the test method been transferred to other labs? Is there data on inter-laboratory variability? What are procedures and how was the performance (experience) of the transfer?,th_uptake,red,0.0
99,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",ablue_shsy5y,red,0.022222222222222223
100,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",cell_painting_plus,red,0.08
101,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",dcfda_hepg2,red,0.0
102,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",e_morph_screening,red,0.02
103,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",hntp,red,0.0975609756097561
104,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",ldh_shsy5y,red,0.04
105,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",msldt,red,0.5
106,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",rhe,red,0.4
107,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.1 Specific hazards; issues of waste disposal,74,"Are there special legal requirements for running the test in your lab; are there special hazards associated with the test that may affect operators, bystanders, others (e.g. through waste).",th_uptake,red,0.08888888888888889
108,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,ablue_shsy5y,red,0.011111111111111112
109,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,cell_painting_plus,red,0.04
110,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,dcfda_hepg2,red,0.0
111,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,e_morph_screening,red,0.0
112,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,hntp,red,0.0
113,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,ldh_shsy5y,red,0.0
114,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,msldt,red,0.2
115,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,rhe,red,0.0
116,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.2 Safety data sheet (SDS),75,Are the SDSs for all hazardous reagents used in the test method available? Are the SDSs for all hazardous test compounds stored? Describe where and how the SDSs are stored internally. How is safe handling ensured? Is the exposure scenario for the hazardous reagents used in the test method available?,th_uptake,red,0.0
117,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",ablue_shsy5y,red,0.07777777777777778
118,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",cell_painting_plus,red,0.16
119,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",dcfda_hepg2,red,0.2
120,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",e_morph_screening,red,0.06
121,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",hntp,red,0.07317073170731707
122,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",ldh_shsy5y,red,0.10666666666666667
123,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",msldt,red,0.2
124,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",rhe,red,0.3
125,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.3 Specific facilities/licenses,76,"Are special permits (e.g. genetic work, stem cells, radioactivity, etc.) required? Are special facilities required? Is special ethical approval necessary (indicate approval document).",th_uptake,red,0.1111111111111111
126,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",ablue_shsy5y,red,0.0
127,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",cell_painting_plus,red,0.16
128,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",dcfda_hepg2,red,0.06666666666666667
129,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",e_morph_screening,red,0.12
130,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",hntp,red,0.04878048780487805
131,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",ldh_shsy5y,red,0.013333333333333334
132,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",msldt,red,0.1
133,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",rhe,red,0.1
134,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",11.4 Commercial aspects/intellectual property of material/procedures,77,"List elements of the test method (e.g. consumables, chemicals, analytical methods, equipment) that are protected by patents or any other means. Indicate the type of protection and where the element (or license for it) may be obtained.",th_uptake,red,0.0
135,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",ablue_shsy5y,blue,0.3
136,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",cell_painting_plus,blue,0.44
137,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",dcfda_hepg2,blue,0.4
138,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",e_morph_screening,blue,0.26
139,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",hntp,blue,0.6585365853658537
140,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",ldh_shsy5y,blue,0.29333333333333333
141,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",msldt,blue,0.8
142,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",rhe,blue,0.8
143,2. General information,2. General information,2.1 Name of test method,10,"Provide the original/published name, as well as the potential tradename.",th_uptake,blue,0.1111111111111111
144,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,ablue_shsy5y,blue,0.05555555555555555
145,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,cell_painting_plus,blue,0.04
146,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,dcfda_hepg2,blue,0.6666666666666666
147,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,e_morph_screening,blue,0.02
148,2. General information,2. General information,2.2 Version number and date of deposition,11,Provide the original deposition date of first version and date of current version.,hntp,blue,0.5609756097560976
