section#,section,section_short,model,cos_similarity
10.0,10. Test method transferability,10. Transferability,gpt-5-mini,0.7008790978402687
10.0,10. Test method transferability,10. Transferability,gpt-5-nano,0.6671733370570325
10.0,10. Test method transferability,10. Transferability,gpt-5.4-mini,0.7755349472701152
10.0,10. Test method transferability,10. Transferability,gpt-5.4-nano,0.7335048383117247
10.0,10. Test method transferability,10. Transferability,o3-mini,0.8114482309733938
11.0,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",gpt-4.1-nano,0.1831292471985971
11.0,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",gpt-4o-mini,0.3533066991089175
11.0,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",gpt-4o-mini_temp0,0.31363744785025
11.0,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",gpt-5-mini,0.5190451426689546
11.0,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",gpt-5-nano,0.4935199130875034
11.0,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",gpt-5.4-mini,0.49514522776162684
11.0,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",gpt-5.4-nano,0.37960981566392576
11.0,"11. Safety, ethics and specific requirements","11. Safety, ethics & requirements",o3-mini,0.5639627478944648
